date,title,amount
2025-12-20,Ifd*Samara Alves Jardi,33.59
2025-12-20,99food *Aloha A Ai Pen,10.98
2025-12-18,F S de Alencar Sanoll,32.70
2025-12-18,99food *604 Burger,31.49
2025-12-14,Dl*99 Ride,9.35
2025-12-13,IOF de compra internacional,25.59
2025-12-13,Pg *Loja Gamers Club,39.90
2025-12-13,Csfloat Inc.,731.30
2025-12-12,Pagamento recebido,-756.27
2025-12-10,Ifd*Dede Hamburgueria,20.99
2025-12-08,Pagamento recebido,-837.21
2025-12-08,Uber *One Membership U,19.90
2025-12-07,Ifood Club,7.95
2025-12-06,Amazonmktplc*Romanasoa - Parcela 2/4,54.45
2025-12-06,Mercadolivre*Mercadol - Parcela 3/10,65.80
2025-12-06,Kabum - Parcela 8/10,65.90
